"restaurant";"type";"prix";"nom";"description"
"Amorino - Bretagne";"drink";"6,9";"Boite de wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 400 g."
"Amorino - Bretagne";;"6,5";"Sachet  amaretti ";"Macaron italien, moelleux et parfumé aux amandes, 200 gr."
"Amorino - Bretagne";"dessert";"3,4";"Cake citron amandes";"Cake au citron agrémenté de morceaux d'amandes, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de fruits à coques"
"Amorino - Bretagne";;"3,9";"Sachet assortiment";"Un assortiment de biscuits italiens : cantucci, ossi di morto, brutti e buoni, biscotello et pane del pescatore, 6 biscuits."
"Amorino - Bretagne";"dessert";"3,4";"Cake carotte";"Carotte cake, recette traditionnelle, cake aux œufs entiers, sans colorant ni arome artificiel, peut contenir des traces de gluten, d’œufs et de lait."
"Amorino - Bretagne";;"20,9";"Boite de 12 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Bretagne";;"28,9";"Bliss box";"3 parfums de glace ou sorbet et 3 toppings au choix."
"Amorino - Bretagne";"dessert";"3,4";"Cake banane noix";"Cake à la banane accompagné de morceaux croquants de noix, cake aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait, et de fruits à coques."
"Amorino - Bretagne";;"1";"Cornets vides";"4 pièces."
"Amorino - Bretagne";"drink";"3,4";"Cake Chocolat";"Cake au Chocolat fondant, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de soja."
"Amorino - Bretagne";;"6,5";"Sachet biscotello";"Biscuits sablés aux amandes, 200 gr."
"Amorino - Bretagne";;"1,5";"Sachet de nocciolini ";"Petites meringues aux noisettes, \" 20g \" ."
"Amorino - Bretagne";;"37,9";"Boite de 24 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Bretagne";;"25";"Coffret de 1100 ml";"1 à 3 parfums au choix."
"Amorino - Bretagne";;"1";"Pots vides";"4 pièces."
"Amorino - Bretagne";;"9,5";"Coppa géante";"1 à 2 parfums au choix."
"Amorino - Bretagne";"drink";"1,8";"Sachet de mini-wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 30 gr."
"Amorino - Bretagne";;"19,9";"Tête a tête";"2 parfums de glace ou sorbet et 6 macarons al gelato au choix."
"Amorino - Bretagne";;"14";"Coffret de 550 ml";"1 à 2 parfums au choix."
"Amorino - Marais";;"20,9";"Boite de 12 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Marais";"dessert";"3,4";"Cake citron amandes";"Cake au citron agrémenté de morceaux d'amandes, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de fruits à coques"
"Amorino - Marais";;"19,9";"Tête a tête";"2 parfums de glace ou sorbet et 6 macarons al gelato au choix."
"Amorino - Marais";"dessert";"3,4";"Cake carotte";"Carotte cake, recette traditionnelle, cake aux œufs entiers, sans colorant ni arome artificiel, peut contenir des traces de gluten, d’œufs et de lait."
"Amorino - Marais";"drink";"6,9";"Boite de wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 400 g."
"Amorino - Marais";;"9,5";"Coppa géante";"1 à 2 parfums au choix."
"Amorino - Marais";;"25";"Coffret de 1100 ml";"1 à 3 parfums au choix."
"Amorino - Marais";;"6,5";"Sachet  amaretti ";"Macaron italien, moelleux et parfumé aux amandes, 200 gr."
"Amorino - Marais";;"14";"Coffret de 550 ml";"1 à 2 parfums au choix."
"Amorino - Marais";;"1";"Pots vides";"4 pièces."
"Amorino - Marais";"drink";"1,8";"Sachet de mini-wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 30 gr."
"Amorino - Marais";;"1";"Cornets vides";"4 pièces."
"Amorino - Marais";;"28,9";"Bliss box";"3 parfums de glace ou sorbet et 3 toppings au choix."
"Amorino - Marais";;"37,9";"Boite de 24 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Marais";"drink";"3,4";"Cake Chocolat";"Cake au Chocolat fondant, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de soja."
"Amorino - Marais";;"6,5";"Sachet biscotello";"Biscuits sablés aux amandes, 200 gr."
"Amorino - Marais";;"3,9";"Sachet assortiment";"Un assortiment de biscuits italiens : cantucci, ossi di morto, brutti e buoni, biscotello et pane del pescatore, 6 biscuits."
"Amorino - Marais";"dessert";"3,4";"Cake banane noix";"Cake à la banane accompagné de morceaux croquants de noix, cake aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait, et de fruits à coques."
"Amorino - Marais";;"1,5";"Sachet de nocciolini ";"Petites meringues aux noisettes, \" 20g \" ."
"Amorino - Vosges";;"14";"Coffret de 550 ml";"1 à 2 parfums au choix."
"Amorino - Vosges";;"19,9";"Tête a tête";"2 parfums de glace ou sorbet et 6 macarons al gelato au choix."
"Amorino - Vosges";;"1,5";"Sachet de nocciolini ";"Petites meringues aux noisettes, \" 20g \" ."
"Amorino - Vosges";;"28,9";"Bliss box";"3 parfums de glace ou sorbet et 3 toppings au choix."
"Amorino - Vosges";"drink";"3";"San Pellegrino";""
"Amorino - Vosges";"dessert";"3,4";"Cake banane noix";"Cake à la banane accompagné de morceaux croquants de noix, cake aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait, et de fruits à coques."
"Amorino - Vosges";;"37,9";"Boite de 24 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Vosges";"drink";"3";"Orangina";""
"Amorino - Vosges";"drink";"1,8";"Sachet de mini-wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 30 gr."
"Amorino - Vosges";;"25";"Coffret de 1100 ml";"1 à 3 parfums au choix."
"Amorino - Vosges";;"3";"Minute Maid Orange";""
"Amorino - Vosges";"dessert";"3,4";"Cake citron amandes";"Cake au citron agrémenté de morceaux d'amandes, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de fruits à coques"
"Amorino - Vosges";;"3";"Suz Tea";""
"Amorino - Vosges";;"3";"Boite de 12 Macarons Traditionnels";""
"Amorino - Vosges";"drink";"3,4";"Cake Chocolat";"Cake au Chocolat fondant, cake authentique aux œufs entiers, sans colorant ni arôme artificiel, peut contenir des traces de gluten, d’œufs, de lait et de soja."
"Amorino - Vosges";;"9,5";"Coppa géante";"1 à 2 parfums au choix."
"Amorino - Vosges";;"3";"Eau plate";""
"Amorino - Vosges";"drink";"3";"Coca Cola";""
"Amorino - Vosges";;"1";"Pots vides";"4 pièces."
"Amorino - Vosges";;"20,9";"Boite de 12 macarons al gelato au choix";"De tendres macarons garnis de glace pour faire fondre de plaisir tous les gourmands !"
"Amorino - Vosges";"drink";"3";"Coca Cola Zero";""
"Amorino - Vosges";;"1";"Cornets vides";"4 pièces."
"Amorino - Vosges";"dessert";"3,4";"Cake carotte";"Carotte cake, recette traditionnelle, cake aux œufs entiers, sans colorant ni arome artificiel, peut contenir des traces de gluten, d’œufs et de lait."
"Amorino - Vosges";"drink";"6,9";"Boite de wafer al gianduja ";"Gaufrettes fourrées au chocolat noisette, 400 g."
"Auberge de Venise - Bastille";"risotto";"19,9";"Risotto ai funghi porcini";"Risotto aux cèpes."
"Auberge de Venise - Bastille";;"15,9";"Rustica";"Sauce tomate, mozzarella, jambon blanc cuit, artichauts, tomates fraîches et séchées, olives, basilic, origan."
"Auberge de Venise - Bastille";;"16,9";"Ravioli ai funghi";"Raviolis fourrés aux champignons et sauce crème."
"Auberge de Venise - Bastille";;"34,9";"Prosecco";"75 cl, pétillant."
"Auberge de Venise - Bastille";;"3,5";"Eau minérale";"50 cl ou 100 cl, gazeuse ou plate."
"Auberge de Venise - Bastille";;"15,9";"Regina";"Sauce tomate, mozzarella, jambon blanc cuit, champignons."
"Auberge de Venise - Bastille";"pasta";"24,9";"Linguine ai gamberoni";"Linguine aux gambas, sauce tomate, ail, huile d'olive"
"Auberge de Venise - Bastille";;"13,9";"Antipasti della nonna";"Assortiment de légumes."
"Auberge de Venise - Bastille";"salad";"14,9";"Mille-feuille d’aubergine au chèvre chaud";"Aubergines accompagnées de chèvre chaud et de salade."
"Auberge de Venise - Bastille";;"14,9";"Bardolino";"37.5 cl ou 75 cl."
"Auberge de Venise - Bastille";;"13,9";"Champignons";"Sauce tomate, mozzarella, champignons."
"Auberge de Venise - Bastille";;"19,9";"Soave";"75 cl."
"Auberge de Venise - Bastille";;"17,9";"Affettati misti";"Jambon de parme, salami, mortadelle, pancetta et bresaola."
"Auberge de Venise - Bastille";;"23,9";"Ossobuco";"Jarret de veau à la milanaise."
"Auberge de Venise - Bastille";"alcohol";"24,9";"Saltimbocca alla romana";"Escalope de veau et jambon de parme et sauce au vin blanc."
"Auberge de Venise - Bastille";;"12,9";"Minestrone";"Potage aux légumes."
"Auberge de Venise - Bastille";"drink";"5,5";"Mousse au chocolat, maison";""
"Auberge de Venise - Bastille";;"18,9";"Merlo Veneziano";"75 cl."
"Auberge de Venise - Bastille";;"24,9";"Scaloppina Marcel Jullian";"Escalope de veau panée, tomates, roquette et grana."
"Auberge de Venise - Bastille";"drink";"3,5";"Coca-cola Zéro";"33cl"
"Auberge de Venise - Bastille";"risotto";"22,9";"Calamari in casseruola e risotto";"Calamars, tomates, ail, persil et son risotto."
"Auberge de Venise - Bastille";"risotto";"23,9";"Salmone al fior di sale con risotto";"Saumon à la fleur de sel et risotto "
"Auberge de Venise - Bastille";"salad";"11,9";"Insalata mista";"Salade mixte."
"Auberge de Venise - Bastille";"pasta";"15,9";"Tortelloni ai 4 formaggi";"Pâtes fourrées à la viande de bœuf et sauce 4 fromages."
"Auberge de Venise - Bastille";;"15,9";"Carpaccio al parmigiano";"Fines tranches de bœuf cru, huile d'olive et fromage parmesan."
"Auberge de Venise - Bastille";"pasta";"15,9";"Pennette ai Carciofi";"Pâtes fourrées à la viande de bœuf et sauce 4 fromages."
"Auberge de Venise - Bastille";;"16,9";"Chianti Classico";"37.5 cl ou 75 cl."
"Auberge de Venise - Bastille";;"14,9";"Orientale";"Sauce tomate, mozzarella, merguez hallal, poivrons, oignons, origan."
"Auberge de Venise - Bastille";;"14,9";"Orvieto";"37.5 cl ou 75 cl."
"Auberge de Venise - Bastille";"drink";"3,5";"Sprite";"33cl"
"Auberge de Venise - Bastille";;"3,5";"Schweppes";"25cl"
"Auberge de Venise - Bastille";"drink";"3,5";"Coca-cola";"33cl"
"Auberge de Venise - Bastille";"salad";"13,9";"Rucola parmigiano";"Salade de roquette et fromage parmesan."
"Auberge de Venise - Bastille";;"14,9";"Carpaccio di salmone";"Fines tranches de saumon, huile d'olive et citron."
"Auberge de Venise - Bastille";;"15,9";"Quattro Stagioni";"Sauce tomate, mozzarella, jambon blanc cuit, artichauts, poivrons, champignons, origan."
"Auberge de Venise - Bastille";;"5,5";"Panna Cotta crème fruits";""
"Auberge de Venise - Bastille";"pasta";"12,9";"Spaghetti aglio e olio";"Spaghetti, sauce ail et huile d’olive."
"Auberge de Venise - Bastille";"pasta";"15,9";"Spaghetti alla carbonara";"Spaghetti, poitrine fumée, œuf, crème et fromage."
"Auberge de Venise - Bastille";;"29,9";"Filetto di manzo al gorgonzola";"Filet de bœuf et sauce gorgonzola."
"Auberge de Venise - Bastille";;"12,9";"4 Fromages";"Mozzarella, chèvre, gorgonzola, parmesan, tomates fraîches, origan, olives.\n"
"Auberge de Venise - Bastille";"pasta";"18,9";"linguine alle vongole";"Linguine aux palourdes."
"Auberge de Venise - Bastille";;"3,5";"Jus de tomates";"25cl"
"Auberge de Venise - Bastille";;"13,9";"Roquette & parmesan";"Sauce tomate, mozzarella, roquette, parmesan, tomates\nfraîches, origan, olives noires"
"Auberge de Venise - Bastille";;"14,9";"New-York Steak";"Sauce tomate, mozzarella, viande hachée hallal, poivrons, oignons, origan."
"Auberge de Venise - Bastille";;"14,9";"Valpolicella";"37.5 cl ou 75 cl."
"Auberge de Venise - Bastille";"alcohol";"5";"Birra Moretti";"33cl - Bière italienne 4,6°"
"Auberge de Venise - Bastille";;"24,9";"Lambrusco Secco";"75 cl, pétillant."
"Auberge de Venise - Bastille";"drink";"3,5";"Orangina";"33cl"
"Auberge de Venise - Bastille";;"3,5";"Nectar de fruits";"25cl"
"Auberge de Venise - Bastille";"salad";"5,5";"Salade de fruits frais, maison";""
"Auberge de Venise - Bastille";;"15,9";"Ravioli freschi al pesto di basilico";"Raviolis fourrés au basilic et sauce pesto."
"Auberge de Venise - Bastille";"dessert";"5,5";"Tiramisu caffè, maison";"Gâteau italien fait maison, servi dans sa sauce au café aromatisé."
"Auberge de Venise - Bastille";"pasta";"15,9";"Spaghetti alla bolognese";"Spaghetti, sauce tomate et viande hachée longuement marinée."
"Auberge de Venise - Bastille";"pasta";"14,9";"Spaghetti al pomodoro";"Sauce tomate et basilic."
"Auberge de Venise - Bastille";"alcohol";"25,9";"Fegato alla veneziana";"Foie de veau, sauce à l'oignon, vin blanc, polenta et fetuccini."
"Auberge de Venise - Bastille";;"3,5";"Minute Maid Tropic";"33cl"
"Auberge de Venise - Bastille";"salad";"11,9";"Insalata Mista";"Salade mixte"
"Auberge de Venise - Bastille";;"15,9";"Tagliatelle al salmone";"Tagliatelle, sauce crème et saumon fumé."
"Auberge de Venise - Bastille";;"34,9";"Lacryma Christi del Vesuvio";"75 cl."
"Auberge de Venise - Bastille";;"19,9";"Truffe";"Mozzarella, sauce au beurre de truffe, crème fraîches, champignons."
"Auberge de Venise - Bastille";"drink";"3,5";"Coca-cola Light";"33cl"
"Auberge de Venise - Bastille";;"24,9";"Nero d'Avola";"75 cl."
"Auberge de Venise - Bastille";"salad";"14,9";"Insalata italiana";"Salade, thon, œuf dur, câpres, tomates et maïs."
"Auberge de Venise - Bastille";;"14,9";"Penne all’arrabbiata";"Penne et sauce tomate piquante."
"Auberge de Venise - Bastille";;"14,9";"Mozzarella di bufala";"Tomates, mozzarella, huile d'olive et basilic."
"Auberge de Venise - Bastille";"drink";"3,5";"Perrier";"25cl"
"Auberge de Venise - Bastille";;"5,5";"Panna Cotta crème Caramel maison";"Fait maison, fromage cottage, et crème dessert."
"Auberge de Venise - Bastille";;"16,9";"Lasagne alla bolognese";"Lasagne sauce béchamel, sauce bolognaise et parmesan."
"Auberge de Venise - Bastille";;"10,9";"Margherita";"sauce tomate, double mozzarella, origan, basilic"
"Auberge de Venise - Bastille";;"17,9";"Crevettes";"Mozzarella, tomates fraîches, crevettes, sauce pesto."
"Auberge de Venise - Bastille";"risotto";"19,9";"Risotto ai frutti di mare";"Risotto aux fruits de mer "
"Auberge de Venise - Bastille";;"13,9";"Végétarienne";"Sauce tomate, mozzarella, aubergine, courgette, pomme de\nterre, poivrons, oignons"
"BIOBURGER - Gobelins";"salad";"12,9";"Double pepper";"Pain bun, double steak de bœuf, double cheddar fermier, salade, tomate, confit d'oignons, sauce au poivre maison et accompagnement au choix."
"BIOBURGER - Gobelins";;"3,5";"Limonade";"Boisson en bouteille de 50 cl, 100% naturelle & Bio: citron, sucre et eau."
"BIOBURGER - Gobelins";"burger";"9,9";"Cheese burger tofu";"Végétarien : pain bun, steak de tofu, double Gouda fermier, confit d'oignons, cornichons et sauce classique maison."
"BIOBURGER - Gobelins";;"13,4";"Double cheese";"Pain bun, double steak de bœuf, triple gouda fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";"drink";"3,5";"Cola";"Boisson en bouteille de 50 cl, 100% naturelle & Bio: caramel, seigle, chicorée, sucre, citron et eau."
"BIOBURGER - Gobelins";"drink";"3,5";"Oranginade";"Boisson pétillante en bouteille de 50 cl, 100% naturelle & Bio: Orange, sucre de canne, eau et c'est tout!"
"BIOBURGER - Gobelins";"alcohol";"6";"Bière Jade bio";"33 cl."
"BIOBURGER - Gobelins";;"10,9";"Avocado bacon";"Pain bun, steak de bœuf, guacamole maison, poitrine fumée grillée, gouda fermier et mayonnaise à la ciboulette."
"BIOBURGER - Gobelins";;"7";"Menu greenkid";"Un petit bio, une petite frite et une petite compote."
"BIOBURGER - Gobelins";"burger";"9,9";"Chicken burger";"Pain bun, filet de poulet pané, salade, oignons frits, poitrine fumée grillée et sauce mayonnaise maison."
"BIOBURGER - Gobelins";;"13,4";"Double cheese tofu";"Pain bun, double steak de tofu, Triple gouda fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";;"14,4";"Double avocado bacon";"Pain bun, double steak de boeuf, double gouda fermier, guacamole maison, poitrine fumée et mayonnaise à la ciboulette."
"BIOBURGER - Gobelins";"burger";"9,9";"Cheese burger";"Pain bun, steak de bœuf, double gouda fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";"salad";"12,7";"Double classic";"Pain bun, double steak de bœuf, double cheddar fermier, salade, tomate, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";"burger";"5";"GreenShake Framboise";"Le MilkShake by Bioburger"
"BIOBURGER - Gobelins";;"2,5";"Eau minérale";"50 cl."
"BIOBURGER - Gobelins";"salad";"9,2";"Classic";"Pain bun, steak de bœuf, salade, tomate, cheddar fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";"burger";"10,8";"Bacon cheese burger";"Pain bun, steak de bœuf, poitrine fumée grillée, cheddar fermier, oignons frits, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";"drink";"3";"San Pellegrino";"33 cl."
"BIOBURGER - Gobelins";;"2,9";"Compote Pomme-Poire";"Côteaux Nantais"
"BIOBURGER - Gobelins";"salad";"9,2";"Classic tofu";"Végétarien : pain bun, steak de tofu, salade, tomate, Cheddar fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";;"3,5";"Citronnade";"Boisson de 50 cl, 100% naturelle & Bio: citron, sucre et eau."
"BIOBURGER - Gobelins";"burger";"5";"GreenShake Caramel beurre salé";"Le MilkShake by Bioburger"
"BIOBURGER - Gobelins";;"14,4";"Double avocado bacon tofu";"Pain bun, steak de tofu, guacamole maison, poitrine fumée, gouda fermier et mayonnaise à la ciboulette."
"BIOBURGER - Gobelins";"burger";"13,4";"Double Chicken burger";"Pain bun, double filet de poulet pané, salade, oignons frits, double poitrine fumée grillée et sauce mayonnaise maison"
"BIOBURGER - Gobelins";"salad";"9,4";"Pepper";"Pain bun, steak de bœuf, salade, tomate, cheddar fermier, confit d'oignons, sauce au poivre maison et accompagnement au choix."
"BIOBURGER - Gobelins";"burger";"5";"GreenShake Chocolat";"Le MilkShake by Bioburger "
"BIOBURGER - Gobelins";"salad";"9,4";"Pepper tofu";"Végétarien : pain bun, steak de tofu, salade, tomate, cheddar fermier, confit d'oignons et sauce au poivre maison."
"BIOBURGER - Gobelins";"salad";"13,9";"Double pepper tofu";"Pain bun, steak de tofu, salade, tomate, cheddar fermier, confit d'oignons, sauce au poivre maison et accompagnement au choix."
"BIOBURGER - Gobelins";;"10,9";"Avocado bacon tofu";"Pain bun, steak de tofu, guacamole maison, poitrine fumée grillée, gouda fermier et mayonnaise à la ciboulette."
"BIOBURGER - Gobelins";;"3,5";"Orangeade";"Boisson en bouteille de 50 cl, 100% naturelle & Bio: Orange, sucre de canne, eau et c'est tout!"
"BIOBURGER - Gobelins";"salad";"12,7";"Double classic tofu";"Pain Bun, double steak de tofu, double cheddar fermier, salade, tomate, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";;"10,8";"Bacon cheese tofu";"Pain bun, steak de tofu, poitrine fumée, cheddar fermier, oignons frits, cornichons, et sauce classic maison."
"BIOBURGER - Gobelins";;"14,3";"Double bacon cheese";"Pain bun, double steak de bœuf, double cheddar fermier, poitrine fumée, oignons frits, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";;"3,5";"Thé glacé";"Boisson en bouteille de 50 cl, 100% naturelle & Bio: thé noir, sirop de pêche et eau."
"BIOBURGER - Gobelins";;"3,5";"Gingembrade";"Boisson en bouteille de 50 cl, 100% naturelle & Bio: gingembre, sucre et eau."
"BIOBURGER - Gobelins";"salad";"3,5";"Coleslaw maison";"Salade de choux et carottes rappées."
"BIOBURGER - Gobelins";;"14,3";"Double bacon cheese tofu";"Pain bun, double steak de tofu, double cheddar fermier, poitrine fumée, oignons frits, cornichons et sauce classic maison."
"BIOBURGER - Gobelins";;"3,5";"Frites maison";"Frites fraîches, faites à partir de pommes de terre découpées et précuites tous les matins."
"BIOBURGER - Montorgueil";;"3,5";"Greendrink Thé glacé";"Boisson 100% naturelle & bio \"thé noir, sirop de pêche, eau\", 50cl."
"BIOBURGER - Montorgueil";"salad";"9,4";"PEPPER TOFU";"Végétarien : pain bun, steak de tofu, salade, tomate, Cheddar fermier, confit d'oignons et sauce au poivre maison."
"BIOBURGER - Montorgueil";;"2,5";"Eau minérale";"50 cl."
"BIOBURGER - Montorgueil";"salad";"9,4";"PEPPER";"Pain Bun, steak de bœuf, salade, tomate, Cheddar fermier, confit d'oignons,  sauce au poivre maison et accompagnement au choix."
"BIOBURGER - Montorgueil";"salad";"12,7";"DOUBLE CLASSIC TOFU";"Pain Bun, double steak de tofu, double cheddar fermier, salade, tomate, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";"salad";"3,5";"Coleslaw maison";"Salade de choux et carottes, sauce maison"
"BIOBURGER - Montorgueil";;"3,5";"Greendrink gingembrade";"Boisson pétillante, 100% naturelle et bio \"gingembre, citron, sucre, eau\",  50 cl."
"BIOBURGER - Montorgueil";"burger";"13,4";"DOUBLE CHEESEBURGER TOFU";"Pain Bun, Double steak de tofu, Triple Gouda fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";"salad";"12,7";"DOUBLE CLASSIC";"Pain Bun, double steak de bœuf, double Cheddar fermier, salade, tomate, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";;"3,5";"Greendrink Orangeade";"Boisson 100% naturelle & bio: \"orange sanguine, sucre, eau\", 50cl"
"BIOBURGER - Montorgueil";"burger";"5";"GreenShake Caramel beurre salé";"Le MilkShake by Bioburger "
"BIOBURGER - Montorgueil";"alcohol";"6";"Bière Jade bio";"25 cl."
"BIOBURGER - Montorgueil";"burger";"9,9";"CHICKEN BURGER";"Pain bun, pané de poulet, poitrine fumée, oignons frits, salade, mayonnaise"
"BIOBURGER - Montorgueil";;"13,4";"DOUBLE CHEESE";"Pain Bun, double steak de bœuf, triple Gouda fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";;"3,5";"Frites maison";"Frites fraîches, faites à partir de pommes de terre découpées et précuites tous les matins."
"BIOBURGER - Montorgueil";;"7";"Menu greenkid";"Un petit bio, une petite frite, et une compote pomme"
"BIOBURGER - Montorgueil";"burger";"9,9";"CHEESEBURGER";"Pain Bun, steak de bœuf, double Gouda fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";;"14,3";"DOUBLE BACONCHEESE";"Pain Bun, double steak de bœuf, double Cheddar fermier, poitrine fumée, oignons frits, cornichons et sauce barbecue maison."
"BIOBURGER - Montorgueil";;"14,4";"DOUBLE AVOCADOBACON";"Pain bun, double steak de boeuf, double Gouda fermier, guacamole maison, poitrine fumée, mayonnaise à la ciboulette."
"BIOBURGER - Montorgueil";"salad";"12,9";"DOUBLE PEPPER";"Pain Bun, double steak de bœuf, double Cheddar fermier, salade, tomate, confit d'oignons, sauce au poivre maison et accompagnement au choix."
"BIOBURGER - Montorgueil";"burger";"9,9";"CHEESEBURGER TOFU";"Végétarien : pain bun, steak de tofu, double Gouda fermier, confit d'oignons, cornichons et sauce classique maison."
"BIOBURGER - Montorgueil";"salad";"9,2";"CLASSIC";"Pain Bun, steak de bœuf, salade, tomate, Cheddar fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";"burger";"10,8";"BACONCHEESE BURGER";"Pain Bun, steak de bœuf, poitrine fumée grillée, Cheddar fermier, oignons frits, cornichons et sauce barbecue maison."
"BIOBURGER - Montorgueil";"salad";"9,2";"CLASSIC TOFU";"Végétarien : pain bun, steak de tofu, salade, tomate, Cheddar fermier, confit d'oignons, cornichons et sauce classic maison."
"BIOBURGER - Montorgueil";;"3,5";"Greendrink Limonade";"Boisson pétillante, 100% naturelle et bio \"citron, sucre, eau\", 50 cl."
"BIOBURGER - Montorgueil";"burger";"3,5";"Greendrink Cola";"Boisson pétillante 100% naturelle & Bio, le cola de Bioburger, 50cl"
"BIOBURGER - Montorgueil";;"3,5";"Greendrink Citronnade";"Boisson 100% naturelle et bio \"citron, sucre et eau\", 50 cl."
"BIOBURGER - Montorgueil";"drink";"3";"San Pellegrino";"50 cl."
"BIOBURGER - Montorgueil";;"14,3";"DOUBLE BACONCHEESE TOFU";"Pain Bun, Double steak de tofu, Double Cheddar fermier, poitrine fumée, oignons frits, cornichons et sauce barbecue maison."
"BIOBURGER - Montorgueil";;"14,4";"DOUBLE AVOCADO TOFU";"Pain bun, double steak de Tofu, guacamole maison, Gouda fermier, mayonnaise à la ciboulette."
"BIOBURGER - Montorgueil";"burger";"13,4";"DOUBLE CHICKENBURGER";"Pain bun, double panés de poulet, double poitrine fumée, oignons frits, salade, mayonnaise"
"BIOBURGER - Montorgueil";;"10,8";"BACONCHEESE TOFU";"Pain bun, steak de tofu, poitrine fumée, Cheddar fermier, oignons frits, cornichons, et sauce barbecue maison."
"BIOBURGER - Montorgueil";;"10,9";"AVOCADO TOFU";"Pain bun, steak de tofu, guacamole maison, Gouda fermier et mayonnaise à la ciboulette."
"BIOBURGER - Montorgueil";;"10,9";"AVOCADOBACON";"Pain Bun, steak de boeuf, Guacamole maison, poitrine fumée grillée, Gouda fermier et mayonnaise à la ciboulette."
"BIOBURGER - Montorgueil";"salad";"12,9";"DOUBLE PEPPER TOFU";"Pain Bun, steak de tofu, salade, tomate, Cheddar fermier, confit d'oignons, sauce au poivre maison et accompagnement au choix."
"BIOBURGER - Montorgueil";"burger";"5";"GreenShake Chocolat";"Le MilkShake by Bioburger "
"BIOBURGER - Montorgueil";"drink";"3,5";"Greendrink oranginade";"Boisson pétillante 100% naturelle et bio \"orange sanguine, sucre et eau\", 50 cl."
"BIOBURGER - Montorgueil";"burger";"5";"GreenShake Framboise";"Le MilkShake by Bioburger "
"Baba Ghannouj Paris";;"2";"Ayran";""
"Baba Ghannouj Paris";;"5";"Feuilles de vignes";""
"Baba Ghannouj Paris";;"14,9";"Chawarma viande";"Viande de bœuf marinée avec du hommos et tabboulé."
"Baba Ghannouj Paris";"alcohol";"3,5";"Bière Lib. Almaza";""
"Baba Ghannouj Paris";;"12";"Falafel";"Avec hommos et tabboulé."
"Baba Ghannouj Paris";;"18";"Kefraya Rouge";"75 cl."
"Baba Ghannouj Paris";"salad";"5";"Salade fattouche";""
"Baba Ghannouj Paris";;"13,9";"Chiche taouk";"Blanc de poulet mariné avec du hommos et tabboulé."
"Baba Ghannouj Paris";;"5";"Hommos";"Purée de pois chiches."
"Baba Ghannouj Paris";;"5,5";"Makanek";""
"Baba Ghannouj Paris";;"18";"Kefraya Rosé";"75 cl."
"Baba Ghannouj Paris";;"5,5";"Hommos chawarma";"Saucisses épicées."
"Baba Ghannouj Paris";"sandwich";"10,5";"Formule 4";"1 sandwich au choix, 1 hors d'oeuvre froid, et 1 boisson au choix."
"Baba Ghannouj Paris";;"5";"Halawit el jebin";"Pâte de fromage, peau de lait, et sirop parfumé."
